River,Year,Declared_Catches
River Tweed (Berwick),2022,6840
River Tweed (Berwick),2023,5920
River Tweed (Berwick),2024,6150
River Tweed (Berwick),2025,6400
River Tweed (Berwick),2026,6750
River Till (Heaton Mill),2022,1240
River Till (Heaton Mill),2023,980
River Till (Heaton Mill),2024,1150
River Till (Heaton Mill),2025,1310
River Till (Heaton Mill),2026,1450
Border Esk (Longtown),2022,850
Border Esk (Longtown),2023,710
Border Esk (Longtown),2024,790
Border Esk (Longtown),2025,820
Border Esk (Longtown),2026,910
River Tyne (Riding Mill),2022,3420
River Tyne (Riding Mill),2023,2910
River Tyne (Riding Mill),2024,3100
River Tyne (Riding Mill),2025,3250
River Tyne (Riding Mill),2026,3580
River Eden (Carlisle),2022,1850
River Eden (Carlisle),2023,1420
River Eden (Carlisle),2024,1610
River Eden (Carlisle),2025,1700
River Eden (Carlisle),2026,1890
River Derwent (Ouse Bridge),2022,640
River Derwent (Ouse Bridge),2023,510
River Derwent (Ouse Bridge),2024,580
River Derwent (Ouse Bridge),2025,610
River Derwent (Ouse Bridge),2026,670
River Wear (Chester-le-Street),2022,1980
River Wear (Chester-le-Street),2023,1650
River Wear (Chester-le-Street),2024,1720
River Wear (Chester-le-Street),2025,1850
River Wear (Chester-le-Street),2026,2100
River Tees (Barnard Castle),2022,410
River Tees (Barnard Castle),2023,320
River Tees (Barnard Castle),2024,380
River Tees (Barnard Castle),2025,395
River Tees (Barnard Castle),2026,440
River Coquet (Rothbury),2022,1120
River Coquet (Rothbury),2023,940
River Coquet (Rothbury),2024,1050
River Coquet (Rothbury),2025,1180
River Coquet (Rothbury),2026,1240
River Aln (Lesbury),2022,380
River Aln (Lesbury),2023,290
River Aln (Lesbury),2024,340
River Aln (Lesbury),2025,365
River Aln (Lesbury),2026,410
